metro_station_id;metro_station;line;adm_area;district
1;Третьяковская;Калининская линия;Центральный административный округ;район Замоскворечье
2;Медведково;Калужско-Рижская линия;Северо-Восточный административный округ;район Северное Медведково
3;Первомайская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
4;Калужская;Калужско-Рижская линия;Юго-Западный административный округ;Обручевский район
5;Каховская;Большая кольцевая линия;Юго-Западный административный округ;район Зюзино
6;Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
7;Павелецкая;Замоскворецкая линия;Центральный административный округ;район Замоскворечье
8;Волжская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Кузьминки
9;Шаболовская;Калужско-Рижская линия;Южный административный округ;Донской район
10;Плющиха;Солнцевская линия;Центральный административный округ;район Арбат
11;Тимирязевская;Серпуховско-Тимирязевская линия;Северный административный округ;Тимирязевский район
12;ВДНХ;Калужско-Рижская линия;Северо-Восточный административный округ;Останкинский район
13;Тверская;Замоскворецкая линия;Центральный административный округ;Тверской район
14;Фонвизинская;Люблинско-Дмитровская линия;Северо-Восточный административный округ;Бутырский район
15;Воронцовская;Большая кольцевая линия;Юго-Западный административный округ;Обручевский район
16;Дмитровская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район
17;Новые Черёмушки;Калужско-Рижская линия;Юго-Западный административный округ;район Черёмушки
18;Улица Милашенкова;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Бутырский район
19;Пушкинская;Таганско-Краснопресненская линия;Центральный административный округ;Тверской район
20;Маяковская;Замоскворецкая линия;Центральный административный округ;Тверской район
21;Нижегородская;Некрасовская линия;Юго-Восточный административный округ;Нижегородский район
22;Ботанический сад;Калужско-Рижская линия;Северо-Восточный административный округ;район Свиблово
24;Белорусская;Замоскворецкая линия;Центральный административный округ;Тверской район
25;Красногвардейская;Замоскворецкая линия;Южный административный округ;район Зябликово
26;Комсомольская;Сокольническая линия;Центральный административный округ;Красносельский район
27;Нагатинская;Серпуховско-Тимирязевская линия;Южный административный округ;Нагорный район
28;Алтуфьево;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Бибирево
29;Новопеределкино;Солнцевская линия;Западный административный округ;район Ново-Переделкино
30;Автозаводская;Замоскворецкая линия;Южный административный округ;Даниловский район
31;Дорогомиловская;Солнцевская линия;Западный административный округ;район Дорогомилово
32;Текстильщики;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Текстильщики
33;Кожуховская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;Южнопортовый район
34;Марьино;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Марьино
36;Преображенская площадь;Сокольническая линия;Восточный административный округ;район Преображенское
37;Новослободская;Кольцевая линия;Центральный административный округ;Тверской район
38;Фили;Филёвская линия;Западный административный округ;район Филёвский Парк
39;Кунцевская;Большая кольцевая линия;Западный административный округ;район Кунцево
40;Домодедовская;Замоскворецкая линия;Южный административный округ;район Орехово-Борисово Южное
41;Мнёвники;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники
42;Охотный ряд;Сокольническая линия;Центральный административный округ;Тверской район
43;Новокосино;Калининская линия;Восточный административный округ;район Новокосино
44;Курская;Кольцевая линия;Центральный административный округ;Басманный район
45;Лухмановская;Некрасовская линия;Восточный административный округ;район Косино-Ухтомский
46;Достоевская;Люблинско-Дмитровская линия;Центральный административный округ;Тверской район
47;Международная;Филёвская линия;Центральный административный округ;Пресненский район
48;Борисово;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово
49;Выставочный центр;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
50;Беговая;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район
51;Терехово;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники
53;Савёловская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район
54;Волоколамская;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино
55;Парк Победы;Солнцевская линия;Западный административный округ;район Дорогомилово
56;Чертановская;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Северное
58;Филёвский парк;Филёвская линия;Западный административный округ;район Фили-Давыдково
59;Фрунзенская;Сокольническая линия;Центральный административный округ;район Хамовники
60;Кузнецкий мост;Таганско-Краснопресненская линия;Центральный административный округ;Мещанский район
61;Лубянка;Сокольническая линия;Центральный административный округ;Тверской район
62;Улица Сергея Эйзенштейна;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
63;Водный стадион;Замоскворецкая линия;Северный административный округ;Головинский район
64;Улица 1905 года;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район
65;Ломоносовский проспект;Солнцевская линия;Западный административный округ;район Раменки
66;Марксистская;Калининская линия;Центральный административный округ;Таганский район
67;Боровское шоссе;Солнцевская линия;Западный административный округ;район Ново-Переделкино
68;Партизанская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
69;Улица академика Янгеля;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное
70;Краснопресненская;Кольцевая линия;Центральный административный округ;Пресненский район
71;Авиамоторная;Большая кольцевая линия;Юго-Восточный административный округ;район Лефортово
72;Чкаловская;Люблинско-Дмитровская линия;Центральный административный округ;Басманный район
73;Тульская;Серпуховско-Тимирязевская линия;Южный административный округ;Даниловский район
74;Лермонтовский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
75;Спартак;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Покровское-Стрешнево
76;Арбатская;Филёвская линия;Центральный административный округ;район Арбат
77;Аннино;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное
78;Севастопольская;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Зюзино
79;Профсоюзная;Калужско-Рижская линия;Юго-Западный административный округ;Академический район
81;Улица Горчакова;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
82;Мякинино;Арбатско-Покровская линия;Северо-Западный административный округ;район Строгино
83;Октябрьская;Калужско-Рижская линия;Центральный административный округ;район Якиманка
84;Пионерская;Филёвская линия;Западный административный округ;район Фили-Давыдково
85;Площадь Ильича;Калининская линия;Центральный административный округ;Таганский район
86;Рассказовка;Солнцевская линия;Новомосковский административный округ;поселение Внуковское
87;Нагатинский Затон;Большая кольцевая линия;Южный административный округ;район Нагатинский Затон
88;Измайловская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
89;Косино;Некрасовская линия;Юго-Восточный административный округ;район Выхино-Жулебино
90;Битцевский парк;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Ясенево
91;Сокол;Замоскворецкая линия;Северный административный округ;район Сокол
92;Рижская;Большая кольцевая линия;Центральный административный округ;Мещанский район
93;Сокольники;Большая кольцевая линия;Восточный административный округ;район Сокольники
94;Смоленская;Филёвская линия;Центральный административный округ;район Арбат
95;Парк культуры;Сокольническая линия;Центральный административный округ;район Хамовники
96;Мичуринский проспект;Солнцевская линия;Западный административный округ;район Раменки
97;Котельники;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
98;Библиотека имени Ленина;Сокольническая линия;Центральный административный округ;район Арбат
99;Некрасовка;Некрасовская линия;Юго-Восточный административный округ;район Некрасовка
100;Волгоградский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;Южнопортовый район
101;Трубная;Люблинско-Дмитровская линия;Центральный административный округ;Мещанский район
102;Динамо;Замоскворецкая линия;Северный административный округ;район Аэропорт
103;Алексеевская;Калужско-Рижская линия;Северо-Восточный административный округ;Алексеевский район
104;Улица Академика Королёва;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
105;Планерная;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Северное Тушино
106;Спортивная;Сокольническая линия;Центральный административный округ;район Хамовники
107;Суворовская;Кольцевая линия;Центральный административный округ;Мещанский район
108;Таганская;Таганско-Краснопресненская линия;Центральный административный округ;Таганский район
109;Киевская;Арбатско-Покровская линия;Западный административный округ;район Дорогомилово
110;Театральная;Замоскворецкая линия;Центральный административный округ;Тверской район
112;Деловой центр;Солнцевская линия;Центральный административный округ;Пресненский район
113;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Северное Бутово
114;Шипиловская;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово
116;Полянка;Серпуховско-Тимирязевская линия;Центральный административный округ;район Якиманка
117;Крылатское;Арбатско-Покровская линия;Западный административный округ;район Крылатское
118;Сходненская;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Южное Тушино
119;Площадь Революции;Арбатско-Покровская линия;Центральный административный округ;Тверской район
120;Юго-Западная;Сокольническая линия;Западный административный округ;район Тропарёво-Никулино
121;Шоссе Энтузиастов;Калининская линия;Восточный административный округ;район Перово
122;Китай-город;Калужско-Рижская линия;Центральный административный округ;Тверской район
123;Щукинская;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Щукино
124;Лесопарковая;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Северное Бутово
125;Новогиреево;Калининская линия;Восточный административный округ;район Новогиреево
127;Минская;Солнцевская линия;Западный административный округ;район Дорогомилово
128;Студенческая;Филёвская линия;Западный административный округ;район Дорогомилово
129;Пражская;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Центральное
131;Аэропорт;Замоскворецкая линия;Северный административный округ;район Аэропорт
132;Проспект Мира;Кольцевая линия;Центральный административный округ;Мещанский район
134;Марьина роща;Люблинско-Дмитровская линия;Северо-Восточный административный округ;район Марьина Роща
137;Нахимовский проспект;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Зюзино
138;Алма-Атинская;Замоскворецкая линия;Южный административный округ;район Братеево
139;Цветной бульвар;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район
140;Окружная;Люблинско-Дмитровская линия;Северный административный округ;Тимирязевский район
141;Добрынинская;Кольцевая линия;Центральный административный округ;район Замоскворечье
142;Технопарк;Замоскворецкая линия;Южный административный округ;район Нагатино-Садовники
143;Серпуховская;Серпуховско-Тимирязевская линия;Центральный административный округ;район Замоскворечье
144;Каширская;Замоскворецкая линия;Южный административный округ;район Нагатино-Садовники
145;Жулебино;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
146;Селигерская;Люблинско-Дмитровская линия;Северный административный округ;Бескудниковский район
147;Юго-Восточная;Некрасовская линия;Юго-Восточный административный округ;район Выхино-Жулебино
148;Солнцево;Солнцевская линия;Западный административный округ;район Солнцево
149;Пятницкое шоссе;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино
150;Улица Скобелевская;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
151;Воробьёвы горы;Сокольническая линия;Западный административный округ;район Раменки
153;Верхние Лихоборы;Люблинско-Дмитровская линия;Северный административный округ;Бескудниковский район
154;Строгино;Арбатско-Покровская линия;Северо-Западный административный округ;район Строгино
155;Отрадное;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Отрадное
156;Кузьминки;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Кузьминки
158;Окская;Некрасовская линия;Юго-Восточный административный округ;Рязанский район
159;Митино;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино
160;Академическая;Калужско-Рижская линия;Юго-Западный административный округ;Академический район
161;Пролетарская;Таганско-Краснопресненская линия;Центральный административный округ;Таганский район
163;Тургеневская;Калужско-Рижская линия;Центральный административный округ;Красносельский район
164;Беляево;Калужско-Рижская линия;Юго-Западный административный округ;район Коньково
165;Царицыно;Замоскворецкая линия;Южный административный округ;район Царицыно
166;Волхонка;Солнцевская линия;Центральный административный округ;район Хамовники
168;Полежаевская;Таганско-Краснопресненская линия;Северный административный округ;Хорошёвский район
170;Войковская;Замоскворецкая линия;Северный административный округ;Войковский район
171;Саларьево;Сокольническая линия;Западный административный округ;район Солнцево
172;Братиславская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Марьино
173;Южная;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Центральное
175;Славянский бульвар;Арбатско-Покровская линия;Западный административный округ;район Фили-Давыдково
176;Свиблово;Калужско-Рижская линия;Северо-Восточный административный округ;район Свиблово
177;Университет;Сокольническая линия;Западный административный округ;район Раменки
178;Улица Старокачаловская;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Северное Бутово
182;Электрозаводская;Арбатско-Покровская линия;Восточный административный округ;район Соколиная Гора
183;Ясенево;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево
184;Румянцево;Сокольническая линия;Новомосковский административный округ;поселение Московский
185;Тропарёво;Сокольническая линия;Западный административный округ;район Тропарёво-Никулино
187;Орехово;Замоскворецкая линия;Южный административный округ;район Орехово-Борисово Северное
188;Перово;Калининская линия;Восточный административный округ;район Новогиреево
189;Телецентр;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
190;Дубровка;Люблинско-Дмитровская линия;Юго-Восточный административный округ;Южнопортовый район
192;Семёновская;Арбатско-Покровская линия;Восточный административный округ;район Соколиная Гора
193;Стахановская;Некрасовская линия;Юго-Восточный административный округ;Рязанский район
195;Петровско-Разумовская;Люблинско-Дмитровская линия;Северный административный округ;Тимирязевский район
196;Тёплый стан;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево
197;Выхино;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
199;Кантемировская;Замоскворецкая линия;Южный административный округ;район Царицыно
200;Молодёжная;Арбатско-Покровская линия;Западный административный округ;район Кунцево
201;Владыкино;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Отрадное
203;Крестьянская застава;Люблинско-Дмитровская линия;Центральный административный округ;Таганский район
204;Хорошёвская;Большая кольцевая линия;Северный административный округ;Хорошёвский район
205;Зябликово;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово
207;Красносельская;Сокольническая линия;Центральный административный округ;Красносельский район
208;Чистые пруды;Сокольническая линия;Центральный административный округ;Басманный район
209;Дмитровское шоссе;Люблинско-Дмитровская линия;Северный административный округ;район Восточное Дегунино
211;Сретенский бульвар;Люблинско-Дмитровская линия;Центральный административный округ;Красносельский район
212;Проспект Вернадского;Большая кольцевая линия;Западный административный округ;район Раменки
214;Боровицкая;Серпуховско-Тимирязевская линия;Центральный административный округ;район Арбат
215;Бибирево;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Бибирево
216;Речной вокзал;Замоскворецкая линия;Северный административный округ;район Левобережный
217;Люблино;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Люблино
218;Бутырская;Люблинско-Дмитровская линия;Северо-Восточный административный округ;Бутырский район
219;Октябрьское поле;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Щукино
220;Новокузнецкая;Замоскворецкая линия;Центральный административный округ;район Замоскворечье
221;Кутузовская;Филёвская линия;Западный административный округ;район Дорогомилово
222;Тушинская;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Покровское-Стрешнево
223;Коломенская;Замоскворецкая линия;Южный административный округ;район Нагатино-Садовники
226;Нагорная;Серпуховско-Тимирязевская линия;Южный административный округ;Нагорный район
227;Выставочная;Филёвская линия;Центральный административный округ;Пресненский район
228;Бунинская аллея;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
230;Новоясеневская;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево
231;Бауманская;Арбатско-Покровская линия;Центральный административный округ;Басманный район
232;Бульвар Рокоссовского;Сокольническая линия;Восточный административный округ;район Богородское
233;Черкизовская;Сокольническая линия;Восточный административный округ;район Преображенское
234;Коньково;Калужско-Рижская линия;Юго-Западный административный округ;район Тёплый Стан
238;Менделеевская;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район
240;улица Дмитриевского;Некрасовская линия;Восточный административный округ;район Косино-Ухтомский
243;Раменки;Солнцевская линия;Западный административный округ;район Раменки
246;Баррикадная;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район
247;Багратионовская;Филёвская линия;Западный административный округ;район Филёвский Парк
249;Бабушкинская;Калужско-Рижская линия;Северо-Восточный административный округ;Бабушкинский район
251;Кропоткинская;Сокольническая линия;Центральный административный округ;район Хамовники
253;Сухаревская;Калужско-Рижская линия;Центральный административный округ;Красносельский район
255;Красные ворота;Сокольническая линия;Центральный административный округ;Красносельский район
256;Печатники;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Печатники
259;Рязанский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;Рязанский район
260;Римская;Люблинско-Дмитровская линия;Центральный административный округ;Таганский район
261;Александровский сад;Филёвская линия;Центральный административный округ;Тверской район
263;Ленинский проспект;Калужско-Рижская линия;Южный административный округ;Донской район
266;Чеховская;Серпуховско-Тимирязевская линия;Центральный административный округ;Тверской район
268;Щёлковская;Арбатско-Покровская линия;Восточный административный округ;район Гольяново
269;Ховрино;Замоскворецкая линия;Северный административный округ;район Ховрино
270;Шелепиха;Московское центральное кольцо;Центральный административный округ;Пресненский район
271;Площадь Гагарина;Московское центральное кольцо;Юго-Западный административный округ;Гагаринский район
272;Лихоборы;Московское центральное кольцо;Северный административный округ;район Коптево
275;Хорошёво;Московское центральное кольцо;Северный административный округ;Хорошёвский район
276;Соколиная Гора;Московское центральное кольцо;Восточный административный округ;район Соколиная Гора
277;Локомотив;Московское центральное кольцо;Восточный административный округ;район Преображенское
279;Балтийская;Московское центральное кольцо;Северный административный округ;Войковский район
281;Угрешская;Московское центральное кольцо;Юго-Восточный административный округ;район Печатники
283;Андроновка;Московское центральное кольцо;Восточный административный округ;район Перово
285;Измайлово;Московское центральное кольцо;Восточный административный округ;район Соколиная Гора
286;Лужники;Московское центральное кольцо;Центральный административный округ;район Хамовники
288;Новохохловская;Московское центральное кольцо;Юго-Восточный административный округ;Нижегородский район
289;ЗИЛ;Московское центральное кольцо;Южный административный округ;Даниловский район
290;Верхние Котлы;Московское центральное кольцо;Южный административный округ;Нагорный район
291;Белокаменная;Московское центральное кольцо;Восточный административный округ;район Богородское
292;Ростокино;Московское центральное кольцо;Северо-Восточный административный округ;район Ростокино
295;Стрешнево;Московское центральное кольцо;Северный административный округ;район Сокол
296;Крымская;Московское центральное кольцо;Южный административный округ;Донской район
298;Петровский парк;Большая кольцевая линия;Северный административный округ;район Аэропорт
299;ЦСКА;Большая кольцевая линия;Северный административный округ;Хорошёвский район
301;Озёрная;Солнцевская линия;Западный административный округ;район Очаково-Матвеевское
302;Говорово;Солнцевская линия;Западный административный округ;район Солнцево
303;Беломорская;Замоскворецкая линия;Северный административный округ;район Левобережный
304;Зорге;Московское центральное кольцо;Северо-Западный административный округ;район Хорошёво-Мнёвники
305;Панфиловская;Московское центральное кольцо;Северо-Западный административный округ;район Щукино
306;Коптево;Московское центральное кольцо;Северный административный округ;район Коптево
308;Филатов луг;Сокольническая линия;Новомосковский административный округ;поселение Сосенское
309;Прокшино;Сокольническая линия;Новомосковский административный округ;поселение Сосенское
310;Ольховая;Сокольническая линия;Новомосковский административный округ;поселение Сосенское
311;Коммунарка;Сокольническая линия;Новомосковский административный округ;поселение Сосенское
312;Лефортово;Большая кольцевая линия;Юго-Восточный административный округ;район Лефортово
315;Зюзино;Большая кольцевая линия;Юго-Западный административный округ;район Зюзино
316;Народное Ополчение;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники
318;Давыдково;Большая кольцевая линия;Западный административный округ;Можайский район
320;Аминьевская;Большая кольцевая линия;Западный административный округ;район Очаково-Матвеевское
321;Новаторская;Большая кольцевая линия;Юго-Западный административный округ;Обручевский район
322;Варшавская;Большая кольцевая линия;Южный административный округ;район Москворечье-Сабурово
324;Кленовый бульвар;Большая кольцевая линия;Южный административный округ;район Нагатинский Затон
325;Пыхтино;Солнцевская линия;Новомосковский административный округ;поселение Внуковское
326;Аэропорт Внуково;Солнцевская линия;Западный административный округ;район Внуково
